"Notes","Year","Year Code","State of Residence","State of Residence Code","Delivery Method","Delivery Method Code","Previous Cesarean Delivery","Previous Cesarean Delivery Code","Mother's Pre-pregnancy BMI","Mother's Pre-pregnancy BMI Code",Births
,"2021","2021","Arizona","04","Cesarean","2","No","2","Obesity I 30.0-34.9","4",2541
,"2021","2021","Arizona","04","Cesarean","2","No","2","Obesity II 35.0-39.9","5",1382
,"2021","2021","Arizona","04","Cesarean","2","No","2","Extreme Obesity III > 39.9","6",1132
,"2021","2021","Arizona","04","Cesarean","2","No","2","Unknown or Not Stated","9",137
,"2021","2021","Arkansas","05","Vaginal","1","Yes","1","Normal 18.5-24.9","2",167
,"2021","2021","Arkansas","05","Vaginal","1","Yes","1","Overweight 25.0-29.9","3",140
,"2021","2021","Arkansas","05","Vaginal","1","Yes","1","Obesity I 30.0-34.9","4",95
,"2021","2021","Arkansas","05","Vaginal","1","Yes","1","Obesity II 35.0-39.9","5",43
,"2021","2021","Arkansas","05","Vaginal","1","Yes","1","Extreme Obesity III > 39.9","6",39
,"2021","2021","Arkansas","05","Vaginal","1","Yes","1","Unknown or Not Stated","9",20
,"2021","2021","Arkansas","05","Vaginal","1","No","2","Underweight <18.5","1",787
,"2021","2021","Arkansas","05","Vaginal","1","No","2","Normal 18.5-24.9","2",8471
,"2021","2021","Arkansas","05","Vaginal","1","No","2","Overweight 25.0-29.9","3",6138
,"2021","2021","Arkansas","05","Vaginal","1","No","2","Obesity I 30.0-34.9","4",3896
,"2021","2021","Arkansas","05","Vaginal","1","No","2","Obesity II 35.0-39.9","5",1973
,"2021","2021","Arkansas","05","Vaginal","1","No","2","Extreme Obesity III > 39.9","6",1297
,"2021","2021","Arkansas","05","Vaginal","1","No","2","Unknown or Not Stated","9",546
,"2021","2021","Arkansas","05","Cesarean","2","Yes","1","Underweight <18.5","1",64
,"2021","2021","Arkansas","05","Cesarean","2","Yes","1","Normal 18.5-24.9","2",1162
,"2021","2021","Arkansas","05","Cesarean","2","Yes","1","Overweight 25.0-29.9","3",1244
,"2021","2021","Arkansas","05","Cesarean","2","Yes","1","Obesity I 30.0-34.9","4",1045
,"2021","2021","Arkansas","05","Cesarean","2","Yes","1","Obesity II 35.0-39.9","5",738
